Class,Taxon,DBHMin,DBHMax,Model,B0,B1,B2
Order,Cornales,1,27.2,B0 + (DBH * B1) + (DBH2 * B2),8.623,4.2058,-0.0629
Order,Dipsacales,1,12.4,e(B0 + (ln(DBH) * B1)),2.4026,0.1627,
Order,Ebenales,1,16.1,e(B0 + (ln(DBH) * B1)),1.9989,0.7689,
Order,Ericales,1,7,B0 + (DBH * B1),11.9413,4.2381,
Order,Euphorbiales,1,29.3,e(B0 + (ln(DBH) * B1)),2.628,0.3701,
Order,Fabales,1,46.2,e(B0 + (ln(DBH) * B1)),2.46,0.5804,
Order,Fagales,1,31,B0 + (DBH * B1) + (DBH2 * B2),11.2564,4.61,-0.0735
Order,Gentianales,1,16.5,B0 + (DBH * B1),10.1716,1.9588,
Order,Hamamelidales,1,25,B0 + (DBH * B1) + (DBH2 * B2),11.3341,5.5504,-0.1127
Order,Juglandales,1,24,B0 + (DBH * B1) + (DBH2 * B2),9.5467,5.7118,-0.1189
Order,Laurales,1,17,B0 + (DBH * B1) + (DBH2 * B2),5.5344,6.3008,-0.1808
Order,Magnoliales,1,34,B0 + (DBH * B1) + (DBH2 * B2),12.4282,5.3742,-0.0792
Order,Malvales,1,40,e(B0 + (ln(DBH) * B1)),2.5694,0.4278,
Order,Myrtales,1,101.6,e(B0 + (ln(DBH) * B1)),2.6401,0.4236,
Order,Pinales,1.3,28,B0 + (DBH * B1) + (DBH2 * B2),0.7293,5.4819,-0.0988
Order,Rhamnales,1,16.4,e(B0 + (ln(DBH) * B1)),2.603,0.204,
Order,Rosales,1,28,B0 + (DBH * B1) + (DBH2 * B2),8.1664,3.729,-0.066
Order,Salicales,1,23,B0 + (DBH * B1) + (DBH2 * B2),5.4057,5.6113,-0.1238
Order,Sapindales,1,70.9,e(B0 + (ln(DBH) * B1)),2.564,0.5532,
Order,Scrophulariales,1,44,e(B0 + (ln(DBH) * B1)),2.6073,0.5432,
Order,Urticales,1,58,e(B0 + (ln(DBH) * B1)),2.4549,0.547,
Family,Aceraceae,1,70.9,e(B0 + (ln(DBH) * B1)),2.6269,0.5275,
Family,Anacardiaceae,1,9.8,e(B0 + (ln(DBH) * B1)),2.3661,0.4619,
Family,Arecaceae,3.5,38,B0 + (DBH * B1),5.0976,0.8852,
Family,Betulaceae,1,30,e(B0 + (ln(DBH) * B1)),2.5904,0.5756,
Family,Bignoniaceae,1,35.5,e(B0 + (ln(DBH) * B1)),2.444,0.5281,
Family,Cornaceae,1,21.3,e(B0 + (ln(DBH) * B1)),2.5895,0.317,
Family,Cupressaceae,1,61,e(B0 + (ln(DBH) * B1)),1.9729,0.5997,
Family,Euphorbiaceae,1,29.3,e(B0 + (ln(DBH) * B1)),2.6269,0.3717,
Family,Fagaceae,1,32,B0 + (DBH * B1) + (DBH2 * B2),11.3008,4.6004,-0.0726
Family,Hamamelidaceae,1,23,B0 + (DBH * B1) + (DBH2 * B2),9.8581,6.1332,-0.1338
Family,Lauraceae,1,18,B0 + (DBH * B1) + (DBH2 * B2),5.5344,6.3008,-0.1808
Family,Lythraceae,1,13,e(B0 + (ln(DBH) * B1)),2.576,0.2281,
Family,Magnoliaceae,1,34,B0 + (DBH * B1) + (DBH2 * B2),12.4815,5.3673,-0.079
Family,Moraceae,1,58,e(B0 + (ln(DBH) * B1)),2.4045,0.4945,
Family,Myrtaceae,2,101.6,e(B0 + (ln(DBH) * B1)),2.6828,0.457,
Family,Nyssaceae,1,23,B0 + (DBH * B1) + (DBH2 * B2),5.8481,6.5082,-0.1445
Family,Oleaceae,1,44,e(B0 + (ln(DBH) * B1)),2.6141,0.5505,
Family,Pinaceae,1.3,27,B0 + (DBH * B1) + (DBH2 * B2),1.2686,5.7342,-0.1073
Family,Platanaceae,1,51.2,e(B0 + (ln(DBH) * B1)),2.5495,0.5319,
Family,Rhamnaceae,1,16.4,e(B0 + (ln(DBH) * B1)),2.6043,0.214,
Family,Rosaceae,1,28,B0 + (DBH * B1) + (DBH2 * B2),8.1208,3.766,-0.0678
Family,Rutaceae,1,17,e(B0 + (ln(DBH) * B1)),2.6784,0.1675,
Family,Scrophulariaceae,1,23,B0 + (ln(DBH) * B1),6.8028,13.064,
Family,Simaroubaceae,1,18,B0 + (DBH * B1) + (DBH2 * B2),7.3852,5.0019,-0.1373
Family,Tiliaceae,1,40,e(B0 + (ln(DBH) * B1)),2.5996,0.4173,
Family,Ulmaceae,1,38,e(B0 + (ln(DBH) * B1)),2.4743,0.56,
Genus,Betula,1,30,e(B0 + (ln(DBH) * B1)),2.6637,0.5156,
Genus,Carpinus,1,15.2,e(B0 + (ln(DBH) * B1)),2.7671,0.3205,
Genus,Carya,1,24,B0 + (DBH * B1) + (DBH2* B2),9.1062,6.0882,-0.1281
Genus,Catalpa,1,35.5,e(B0 + (ln(DBH) * B1)),2.4327,0.5463,
Genus,Celtis,1,25.1,e(B0 + (ln(DBH) * B1)),2.5054,0.5355,
Genus,Crataegus,1,19.7,B0 + (ln(DBH) * B1),9.9227,6.9489,
Genus,Cupressus,2.4,61,e(B0 + (ln(DBH) * B1)),2.2087,0.5194,
Genus,Eucalyptus,2,101.6,e(B0 + (ln(DBH) * B1)),2.6662,0.4861,
Genus,Fagus,1,27,B0 + (DBH * B1) + (DBH2 * B2),8.7068,5.9258,-0.1087
Genus,Fraxinus,1,44,e(B0 + (ln(DBH) * B1)),2.6408,0.5606,
Genus,Gleditsia,1.3,46.2,e(B0 + (ln(DBH) * B1)),2.2877,0.5429,
Genus,Juglans,1,33,e(B0 + (ln(DBH) * B1)),2.437,0.6096,
