Class,Taxon,DBH-Min,DBH-Max,Model,B0,B1,B2
Order,Cornales,1,27.2,B0 + (DBH * B1) + (DBH2 * B2),5.8018,2.4278,-0.0473
Order,Dipsacales,1,12.4,B0 + (DBH * B1),9.104,0.6597,
Order,Ebenales,1,16.1,e(B0 + (ln(DBH) * B1)),1.7794,0.6205,
Order,Ericales,1,7,e(B0 + (ln(DBH) * B1)),1.9878,0.4638,
Order,Euphorbiales,1,29.3,e(B0 + (ln(DBH) * B1)),1.5739,0.6114,
Order,Fabales,1,29,B0 + (DBH * B1) + (DBH2 * B2),6.5789,2.0282,-0.0344
Order,Fagales,1,67,B0 + (DBH * B1) + (DBH2 * B2),7.1598,1.8053,-0.013
Order,Gentianales,1,16.5,e(B0 + (ln(DBH) * B1)),1.9985,0.3371,
Order,Hamamelidales,1,51.2,B0 + (DBH * B1),5.3249,1.5446,
Order,Juglandales,1,44,B0 + (DBH * B1) + (DBH2 * B2),5.9877,2.0752,-0.0236
Order,Laurales,1,34.1,B0 + (DBH * B1) + (DBH2 * B2),5.4106,2.023,-0.0303
Order,Magnoliales,1,52,B0 + (DBH * B1) + (DBH2 * B2),5.9132,1.9798,-0.019
Order,Malvales,1,40,B0 + (DBH * B1) + (DBH2 * B2),4.76,1.7351,-0.0141
Order,Myrtales,1,101.6,e(B0 + (ln(DBH) * B1)),0.7593,0.8744,
Order,Pinales,1.3,39,B0 + (DBH * B1) + (DBH2 * B2),1.786,1.732,-0.0221
Order,Rhamnales,1,16.4,e(B0 + (ln(DBH) * B1)),1.6669,0.5314,
Order,Rosales,1,28,B0 + (DBH * B1) + (DBH2 * B2),5.4942,1.9993,-0.0357
Order,Salicales,1,41.8,B0 + (DBH * B1),2.6658,1.54,
Order,Sapindales,1,37,B0 + (DBH * B1) + (DBH2 * B2),5.775,2.1928,-0.0294
Order,Scrophulariales,1,33,B0 + (DBH * B1) + (DBH2 * B2),4.4295,2.2431,-0.0344
Order,Urticales,1,37,B0 + (DBH * B1) + (DBH2 * B2),5.4569,2.192,-0.0296
Family,Aceraceae,1,39,B0 + (DBH * B1) + (DBH2 * B2),6.3661,2.102,-0.0267
Family,Anacardiaceae,1,9.8,e(B0 + (ln(DBH) * B1)),1.6627,0.4459,
Family,Arecaceae,3.5,38,B0 + (ln(DBH) * B1),0.2355,3.7689,
Family,Betulaceae,1,30,B0 + (DBH * B1) + (DBH2 * B2),7.0333,1.9312,-0.0309
Family,Bignoniaceae,1,35.5,e(B0 + (ln(DBH) * B1)),2.1261,0.4604,
Family,Cornaceae,1,21.3,e(B0 + (ln(DBH) * B1)),2.0322,0.5071,
Family,Cupressaceae,1,61,e(B0 + (ln(DBH) * B1)),1.0354,0.6262,
Family,Euphorbiaceae,1,29.3,e(B0 + (ln(DBH) * B1)),1.5732,0.6126,
Family,Fagaceae,1,67,B0 + (DBH * B1) + (DBH2 * B2),7.122,1.8167,-0.0132
Family,Hamamelidaceae,1,40,B0 + (DBH * B1),5.5438,1.4528,
Family,Lythraceae,1,13,exp(B0 + (ln(DBH) * B1,1.917,0.4138,
Family,Magnoliaceae,1,52,B0 + (DBH * B1) + (DBH2 * B2),5.906,1.9807,-0.0191
Family,Moraceae,1,58,B0 + (ln(DBH) * B1),4.9539,8.2482,
Family,Myrtaceae,2,101.6,e(B0 + (ln(DBH) * B1)),0.0761,1.1534,
Family,Nyssaceae,1,27.2,B0 + (DBH * B1) + (DBH2 * B2),5.9613,2.0986,-0.0233
Family,Oleaceae,1,35,B0 + (DBH * B1) + (DBH2 * B2),4.3871,2.2158,-0.0317
Family,Pinaceae,1.3,62.7,e(B0 + (ln(DBH) * B1)),1.3208,0.664,
Family,Platanaceae,1,51.2,B0 + (DBH * B1) + (DBH2 * B2),6.3993,2.0634,-0.017
Family,Rhamnaceae,1,16.4,e(B0 + (ln(DBH) * B1)),1.6555,0.5428,
Family,Rosaceae,1,28,B0 + (DBH * B1) + (DBH2 * B2),5.4745,2.0111,-0.0362
Family,Rutaceae,1,17,e(B0 + (ln(DBH) * B1)),2.2451,0.3713,
Family,Scrophulariaceae,1,23,B0 + (ln(DBH) * B1),4.1441,7.1404,
Family,Simaroubaceae,1,31,B0 + (DBH * B1) + (DBH2 * B2),4.6508,2.5085,-0.0456
Family,Tiliaceae,1,40,B0 + (DBH * B1) + (DBH2 * B2),4.8669,1.7481,-0.0148
Family,Ulmaceae,1,38,B0 + (DBH * B1) + (DBH2 * B2),5.4986,2.0888,-0.0227
Genus,Betula,1,30,B0 + (DBH * B1),6.2408,1.5854,
Genus,Carpinus,1,15.2,e(B0 + (ln(DBH) * B1)),2.303,0.4174,
Genus,Carya,1,41,B0 + (DBH * B1) + (DBH2 * B2),6.035,2.0755,-0.0255
Genus,Catalpa,1,35.5,e(B0 + (ln(DBH) * B1)),2.1204,0.4598,
Genus,Celtis,1,21,B0 + (DBH * B1) + (DBH2 * B2),4.3952,2.6692,-0.0625
Genus,Crataegus,1,19.7,e(B0 + (ln(DBH) * B1)),1.8242,0.4338,
